"prompt_id","title","category","department","copilot_surface","environment_tags","theme","prompt_text","description","tips","difficulty","workflow_area","tags","risk_flag","usage_score","persona"
"AGN-001","Step-by-Step Implementation Guide","Universal Toolkit","Universal","Chat","Copilot Chat Only","Operations","Act as a senior implementation consultant with expertise in enterprise change delivery. I need a step-by-step implementation guide. Goal: [GOAL]. Current state: [CURRENT_STATE]. Desired end state: [DESIRED_END_STATE]. Available tools and systems: [TOOLS]. Build the guide as: (1) Prerequisites Checklist — what must be true before starting: access permissions, data readiness, approvals, dependencies resolved, (2) Implementation Strategy — recommended approach (phased vs. big-bang) with justification based on risk and complexity, (3) Detailed Steps — numbered sequence: Step # | Action (specific and concrete) | Owner/Role | Estimated Duration | Input Needed | Output/Deliverable | Verification (how to confirm this step is complete), (4) Decision Points — where the path branches based on findings or results, with criteria for each option, (5) Success Criteria — measurable indicators that the implementation is complete and working correctly, (6) Rollback Plan — how to reverse each major step if something goes wrong, with trigger conditions for rollback. Think through what could go wrong at each step. Verify that the guide could be followed by someone unfamiliar with the process — no assumed knowledge, no undefined acronyms, no ""you know what to do"" shortcuts.","Creates detailed implementation guides with prerequisites, phased steps, decision points, and rollback plans.","Describe the current state and desired end state clearly. Add ""The person following this guide has [EXPERIENCE_LEVEL] with [TOOLS]"" for appropriate detail calibration. For complex implementations, add ""We need a pilot phase before full rollout.""","Beginner","Operations","implementation-guide|step-by-step|how-to|guidance","","4","Analyst|Planner/Strategist"
"AGN-002","Options and Recommendations Engine","Universal Toolkit","Universal","Chat","Copilot Chat Only","Strategic Planning","Act as a strategy advisor presenting options and recommendations. I need to decide on [DECISION_TOPIC]. Context: [CONTEXT]. Constraints: [CONSTRAINTS: budget, timeline, resources, risk appetite]. Present options: (1) Option Identification — identify 3-4 viable approaches (include the ""do nothing"" option as a baseline if relevant), (2) Options Matrix — table: Option | Description | Pros | Cons | Cost Estimate | Timeline | Risk Level | Confidence, (3) Evaluation Criteria — the factors that matter most for this decision, weighted by importance: Criterion | Weight | Option A Score | Option B Score | Option C Score, (4) Weighted Recommendation — which option scores highest, with clear reasoning, (5) Implementation Implications — what choosing each option means in practice: resources needed, dependencies, organizational impact, (6) Decision Framework — what additional information would change the recommendation, and what should trigger revisiting this decision. Think through second-order effects: what does each option enable or foreclose in the future? Verify that your evaluation criteria are independent (no double-counting) and that your recommendation is consistent with the weighted scores.","Presents structured options with weighted evaluation, recommendations, and implementation implications.","Be specific about constraints and priorities. Add ""Our decision-making style is [CONSENSUS/EXECUTIVE/COMMITTEE]"" for appropriate framing. For time-sensitive decisions, add ""We need to decide by [DATE] because [REASON].""","Intermediate","Strategic Planning","recommendations|options-analysis|decision-support|next-steps","","4","Analyst|Planner/Strategist"
"AGN-003","Process Automation Opportunity Identifier","Universal Toolkit","Universal","Chat","Copilot Chat Only","Automation","Act as a process automation specialist with expertise in identifying high-value automation opportunities. Analyze this [PROCESS_DESCRIPTION or WORKFLOW] for automation potential: (1) Task Inventory — break down the process into individual tasks: Task | Current Actor (human/system) | Frequency | Duration | Complexity | Rule-Based? (Y/N), (2) Automation Candidates — tasks that are rule-based, repetitive, and high-volume: table: Task | Automation Type (RPA/API/AI/Workflow Rule) | Feasibility (Easy/Moderate/Hard) | Time Savings per Instance | Annual Volume, (3) ROI Estimate — for top 5 candidates: Current Cost (time × frequency × labor rate) vs. Automation Cost (implementation + maintenance), (4) Quick Wins — automations that can be implemented within [TIMEFRAME] with existing tools, (5) Dependencies and Prerequisites — what needs to be true for each automation to work (data quality, system access, process standardization), (6) Recommended Sequence — implementation order based on: quick-win value, dependency chain, and organizational readiness. Think through what should NOT be automated: judgment-heavy decisions, exceptions requiring empathy, processes still in flux. Verify that your time savings estimates are realistic and account for exception handling.","Identifies and prioritizes process automation opportunities with ROI estimation and implementation sequencing.","Describe the process in detail, including volume and frequency. Add ""Our available automation tools are [TOOLS: Power Automate, Copilot Studio, RPA platform]"" for technology-appropriate recommendations. Start with your highest-volume, most-repetitive processes.","Intermediate","Automation","automation-opportunity|process-improvement|efficiency|RPA","","4","Analyst|Planner/Strategist"
"AGN-004","Next Steps and Milestone Planner","Universal Toolkit","Universal","Chat","Copilot Chat Only","Project Management","Act as a project planning specialist who reduces ambiguity and creates clear forward momentum. Based on [CURRENT_SITUATION: what just happened, what we just decided, where we are in the process], create a concrete next-steps plan: (1) Immediate Actions (Next 48 hours) — the 3-5 things that must happen RIGHT NOW: table: Action | Owner | Deadline | Why Urgent, (2) Short-Term Milestones (Next 2 weeks) — key deliverables and checkpoints: table: Milestone | Description | Owner | Date | Success Criteria | Dependencies, (3) Decisions Needed — questions that must be answered to keep moving: Who decides? | By when? | What information is needed? | What happens if no decision?, (4) Risks to the Plan — what could prevent these next steps from happening, with pre-emptive mitigation, (5) Communication Actions — who needs to be informed of what, and by when, (6) First Checkpoint — when should we reconvene to check progress, and what should be true by then. Think through: Is anything blocking us right now that we haven't addressed? Are the right people assigned to the right tasks? Verify that every action has a specific, named owner (not a team or department) and a concrete deadline (not ""ASAP"" or ""when possible"").","Creates concrete next-steps plans with immediate actions, milestones, decision points, and accountability.","Describe where you are in the process and what just happened. Add ""Our biggest concern right now is [CONCERN]"" to focus the plan. For post-meeting planning, add ""The meeting attendees who can take actions are [NAMES].""","Beginner","Project Management","next-steps|milestone-planning|action-planning|what-now","","4","Manager|Planner/Strategist|Writer/Editor"
"ARG-002","Approval Tracking and Aging Dashboard","Universal Toolkit","Universal","Excel","Excel|Copilot Chat","Governance","Act as a governance operations analyst with expertise in approval workflow optimization. Build an approval tracking dashboard from this data: (1) Pipeline Overview — total pending approvals by type, stage, and age bracket (0-2 days, 3-5 days, 6-10 days, 10+ days), (2) Approver Performance — table: Approver | Pending Items | Avg Response Time | Oldest Item | Approval Rate | Rejection Rate, (3) Bottleneck Analysis — which approvers or stages consistently exceed SLA, with pattern identification (day of week, request type, amount range), (4) Aging Report — all items exceeding [SLA_DAYS] days, sorted by business impact: table: Request ID | Type | Amount | Requester | Approver | Days Pending | Business Impact, (5) Reminder Queue — items that should receive an automated reminder today, with suggested message. Think through the difference between approvals that are slow because of complexity vs. those that are slow because of inaction. Verify that your SLA calculations exclude weekends and holidays.","Tracks approval pipeline health with approver performance metrics, bottleneck analysis, and aging-based escalation.","Provide SLA targets per approval type. Add ""Business-critical approvals include [TYPES]"" to prioritize the aging report. For organizations with multiple approval platforms, consolidate data before analysis.","Intermediate","Governance","approval-tracking|aging-analysis|bottleneck|governance-dashboard","High Risk","4","Analyst|Executive"
"ARG-003","Blocked Item Escalation Framework","Universal Toolkit","Universal","Chat","Copilot Chat Only","Governance","Act as a process governance specialist with expertise in escalation management. Review this set of blocked/stalled approval items and create an escalation action plan: (1) Blocked Item Inventory — table: Item | Type | Blocked Since | Blocker (person or condition) | Reason for Block | Business Impact if Unresolved, (2) Root Cause Classification — categorize each block: missing information, approver unavailable, policy ambiguity, system issue, or deliberate hold, (3) Resolution Actions — for each blocked item: specific action needed, who should take it, recommended deadline, and what happens if not resolved, (4) Escalation Recommendations — items that should be escalated to the next management level, with a brief justification for each, (5) Systemic Fixes — patterns that suggest process or policy changes could prevent future blocks. Draft an escalation email template for the top 3 most critical blocked items: concise, respectful, with clear ask and deadline. Verify that your resolution actions are specific enough to be actionable (not ""follow up"" but ""provide the missing cost center code for PO #12345"").","Creates escalation action plans for blocked approvals with root cause analysis and resolution tracking.","Provide the SLA for each approval type and the current aging data. Add ""Our escalation culture is [FORMAL/INFORMAL]"" to calibrate tone. For politically sensitive escalations, add ""Frame as process support, not blame.""","Intermediate","Governance","escalation|blocked-items|stalled-approvals|workflow-unblocking","High Risk","4","Admin/Coordinator|Analyst|Planner/Strategist|Writer/Editor"
"CRE-LSE-001","Lease Abstraction","Department-Specific","Corporate Real Estate","Chat","Licensed M365 Copilot","Lease & Portfolio","Act as a commercial real estate analyst with expertise in lease management and portfolio optimization. Summarize this lease [LEASE_NAME/REFERENCE]: landlord, tenant, sq ft, rent/year, term (start-end), renewal options, key clauses (options, escalations, maintenance). Flag any unusual terms. Think through each element systematically before producing output. Note any assumptions made and flag areas where additional information would improve the analysis.","Extracts key lease data for portfolio management and decision-making.","Use lease text or summary; Copilot will synthesize. Useful for rent payment planning and renewal calendars.","Beginner","Lease & Portfolio","lease-abstraction|portfolio-management|efficiency","High Risk","4","Analyst|Executive|Facilities Manager|Leasing Manager"
"CRE-NTB-001","Quarterly Portfolio Review","Department-Specific","Corporate Real Estate","Notebooks","Licensed M365 Copilot|Research Agent","Lease & Portfolio","Act as a commercial real estate analyst with expertise in lease management and portfolio optimization. Prepare a quarterly real estate portfolio review: occupancy, cost, lease expiries, key issues, and recommendations. Audience: CFO/CEO. Include: YoY comparison, trend analysis, and action items. Think through each element systematically before producing output. Before finalizing, verify completeness, accuracy, and actionability of your output. Note any assumptions made and flag areas where additional information would improve the analysis.","Executive briefing on real estate performance and strategic initiatives.","Use portfolio data, lease schedule, and market intelligence; Copilot will synthesize. Flag lease renewals and expiries coming due.","Advanced","Lease & Portfolio","executive-briefing|portfolio-management|strategic-planning","","4","Analyst|Executive|Leasing Manager|Planner/Strategist"
"CRE-NTB-003","Lease Portfolio Review","Department-Specific","Corporate Real Estate","Notebooks","Licensed M365 Copilot|Research Agent","Facilities","Act as a facilities management expert with expertise in operations and sustainability. Consolidate lease portfolio: 1) Portfolio Summary (total sq ft and annual rent and expiration profile), 2) Lease Schedule (table: Location | Sq Ft | Rate | Expiration | Renewal Status), 3) Upcoming Expirations (next 24 months), 4) Renegotiation Opportunities, 5) Risk Summary. Think through each element systematically before producing output. Before finalizing, verify completeness, accuracy, and actionability of your output. Note any assumptions made and flag areas where additional information would improve the analysis.","Tracks full portfolio and flags renewal deadlines to avoid service disruptions or missed negotiation windows.","Export from lease management system (Yardi or Argus or Excel). Copilot will organize and highlight risks. Track renewal status quarterly.","Intermediate","Facilities","notebooks|lease-management|portfolio-review","","4","Admin/Coordinator|Analyst|Leasing Manager|Sustainability Lead"
"CRE-XLS-002","Utility Tracking","Department-Specific","Corporate Real Estate","Agent-Excel","Licensed M365 Copilot|Excel Agent","Facilities","Act as a facilities management expert with expertise in operations and sustainability. [UTILITY_DATA in Excel: monthly electric, water, gas for each facility]. Summarize: total cost, cost per sq ft, trends, and seasonal patterns. Flag any anomalies (usage spikes, billing errors). Think through each element systematically before producing output. Note any assumptions made and flag areas where additional information would improve the analysis.","Monitors utility costs for efficiency and anomaly detection.","Benchmark vs. industry; Copilot will spot outliers. Use for efficiency planning.","Beginner","Facilities","utilities|cost-management|monitoring","High Risk","4","Analyst|Facilities Manager|Sustainability Lead"
"CRT-BNR-001","Banner Design for Communications","Universal Toolkit","Universal","Chat","Licensed M365 Copilot","Design & Create","Act as a digital communications designer. Create a professional banner for [CHANNEL: e.g., SharePoint intranet, email newsletter, Teams announcement, event page]. The banner should: (1) feature [TOPIC/THEME], (2) use a [WIDTH x HEIGHT or aspect ratio] format optimized for [CHANNEL], (3) incorporate our brand visual identity, (4) include minimal text — just [HEADLINE] and optionally [SUBHEADING]. The tone should be [TONE: e.g., inspiring, informative, celebratory]. Ensure the design works at both full size and when scaled down for mobile viewing.","Designs banners optimized for various digital channels — intranet, email, Teams — using Copilot Create.","Specify exact dimensions when possible. SharePoint banners work best at 16:5 ratio. Email banners at 600px wide. Always preview on mobile.","Beginner","Design & Create","banner|design|create|sharepoint|email|communications","","4","Designer/Creator|Manager|Writer/Editor"
"CRT-BRK-001","Brand Kit Compliance Checker","Universal Toolkit","Universal","Chat","Licensed M365 Copilot","Design & Create","Act as a brand compliance auditor for a large financial institution. Review this [DOCUMENT_TYPE: e.g., presentation, newsletter, one-pager, social post] against our brand guidelines. Check for: (1) correct logo usage and placement, (2) approved color palette adherence (flag any off-brand colors with hex codes), (3) typography consistency — correct fonts for headlines, body, and captions, (4) image quality and appropriateness for our regulated industry, (5) tone of voice alignment with brand guidelines. Produce a compliance scorecard: list each element checked, its status (compliant/non-compliant/needs review), and specific remediation steps for any issues found. Prioritize fixes by visibility impact.","Audits documents and designs against organizational brand guidelines using Copilot's Brand Kit and Brand Checker features.","For best results, ensure your Brand Kit is configured in the M365 admin center with logos, colors, fonts, and voice guidelines. PowerPoint has built-in Brand Checker that automates some of these checks.","Intermediate","Design & Create","brand|compliance|design|audit|brand-kit","","4","Designer/Creator|Planner/Strategist|Writer/Editor"
"CRT-IMG-001","AI Image Generation for Business","Universal Toolkit","Universal","Chat","Licensed M365 Copilot","Design & Create","Act as a visual communications specialist with expertise in corporate imagery. Generate a professional image for [PURPOSE: e.g., internal presentation, newsletter header, team announcement]. The image should: (1) convey [CONCEPT/THEME], (2) use a [STYLE: e.g., modern minimalist, corporate professional, warm and approachable] aesthetic, (3) be suitable for [PLACEMENT: e.g., PowerPoint slide, email banner, Teams background]. Avoid any text in the image. Ensure the visual is appropriate for a professional financial services environment — no controversial imagery, no identifiable faces unless specified. Describe what you see in the generated image so I can assess fit before using it.","Generates professional AI images via Copilot Create for business communications, presentations, and internal content.","Be specific about style and context. Copilot generates 4 variations — pick the best fit. Regenerate with refined prompts if needed. Enterprise Brand Kits auto-apply when configured.","Beginner","Design & Create","image-generation|visual|design|create|branding","","4","Designer/Creator|Manager|Writer/Editor"
"CRT-IMG-002","Brand-Compliant Visual Asset","Universal Toolkit","Universal","Chat","Licensed M365 Copilot","Design & Create","Act as a brand compliance officer and visual designer. Using our organization's Brand Kit, generate a [ASSET_TYPE: e.g., social media graphic, event banner, newsletter header] for [EVENT/PURPOSE]. Ensure the output adheres to our brand guidelines: approved color palette, typography, and logo placement. The design should communicate [KEY_MESSAGE] to [TARGET_AUDIENCE]. After generating, review the asset against brand standards and flag any elements that may need manual adjustment for full compliance.","Creates visual assets that automatically leverage the organization's Brand Kit for consistent branding across all outputs.","Brand Kits must be configured by your Brand Manager in the M365 admin center. If your output looks off-brand, check that the kit is published and active.","Intermediate","Design & Create","brand-kit|compliance|visual|design|branding","","4","Designer/Creator|Writer/Editor"
